"YYYY","MM","DD","ATMP","WTMP"
"4021",2000,8,5,29.1,29.8
"4045",2000,8,6,28.9,29.8
"4069",2000,8,7,28.8,29.6
"4093",2000,8,8,28.6,29.5
"4117",2000,8,9,28.4,29.5
"4141",2000,8,10,28.8,29.6
"4165",2000,8,11,29.2,29.7
"4189",2000,8,12,28.5,29.6
"4213",2000,8,13,28.4,29.5
"4237",2000,8,14,29.1,29.8
"4261",2000,8,15,29.8,29.8
"4285",2000,8,16,28.7,29.8
"4309",2000,8,17,27.7,29.6
"4333",2000,8,18,26.8,29.7
"4357",2000,8,19,28.5,29.5
"4381",2000,8,20,28.4,29.8
"4405",2000,8,21,28.8,29.9
"4429",2000,8,22,28.8,30
"4453",2000,8,23,28.9,29.9
"4477",2000,8,24,29.2,29.8
"4501",2000,8,25,29,29.7
"4525",2000,8,26,27.4,29.5
"4549",2000,8,27,25.2,29.3
"4573",2000,8,28,26.5,29.3
"4597",2000,8,29,27.4,29.3
"4621",2000,8,30,28.3,29.4
"4645",2000,8,31,28.6,29.3
"4669",2000,9,1,28.8,29.5
"4693",2000,9,2,29,29.7
"4717",2000,9,3,28.9,29.8
"4741",2000,9,4,28.7,29.9
"4765",2000,9,5,28.8,30
"4789",2000,9,6,28.8,30
"4813",2000,9,7,28.7,30
"4837",2000,9,8,28.6,30.1
"4861",2000,9,9,28.9,30.1
"4885",2000,9,10,28.7,30
"4909",2000,9,11,28.5,29.9
"4933",2000,9,12,28.6,29.9
"4957",2000,9,13,29.2,30
"4981",2000,9,14,29.2,30.2
"5005",2000,9,15,27.6,29.9
"5029",2000,9,16,28.6,30
"5053",2000,9,17,28.9,29.8
"5077",2000,9,18,25.7,29.6
"5101",2000,9,19,29.1,29.6
"5125",2000,9,20,28,29.6
"5149",2000,9,21,28.7,29.3
"5173",2000,9,22,28.9,29.3
"5197",2000,9,23,28.8,29.5
"5221",2000,9,24,28.6,29.4
"5245",2000,9,25,28.4,29.5
"5269",2000,9,26,28.6,29.3
"5293",2000,9,27,28.4,29.5
"5317",2000,9,28,28.4,29
"5341",2000,9,29,27.5,29
"5365",2000,9,30,25.5,28.8
"5389",2000,10,1,26.5,28.8
"5413",2000,10,2,26.4,28.7
"5437",2000,10,3,23.2,28.3
"5461",2000,10,4,28.1,28.5
"5485",2000,10,5,28.6,28.7
"5509",2000,10,6,28.9,29
"5533",2000,10,7,28.1,29
"5557",2000,10,8,26,29.2
"5581",2000,10,9,24.2,28.8
"5605",2000,10,10,24.8,28.3
"5629",2000,10,11,25.6,28.1
"5653",2000,10,12,26.1,28
"5677",2000,10,13,25.6,27.6
"5701",2000,10,14,25.5,26.8
"5725",2000,10,15,22.5,27.4
"5749",2000,10,16,22.2,27.1
"5773",2000,10,17,24.2,27.2
"5797",2000,10,18,23,27.4
"5821",2000,10,19,25,27.5
"5845",2000,10,20,26.4,27.4
"5869",2000,10,21,26.4,27.4
"5893",2000,10,22,26.1,27.2
"5917",2000,10,23,25.7,26.9
"5941",2000,10,24,25.9,26.9
"5965",2000,10,25,25.2,25.9
"5989",2000,10,26,21.6,26.5
"6013",2000,10,27,21.7,25.7
"6037",2000,10,28,23.1,24.8
"6061",2000,10,29,24.9,24.9
"6085",2000,10,30,23.6,26.2
"6109",2000,10,31,23,25.3
"6133",2000,11,1,23.9,26.2
"6157",2000,11,2,23.9,25.3
"6181",2000,11,3,21.9,26.5
"6205",2000,11,4,21.4,26.3
"6229",2000,11,5,21.7,25.3
"6253",2000,11,6,24.2,26.5
"6277",2000,11,7,25.2,26.2
"6301",2000,11,8,25.4,26.4
"6325",2000,11,9,25,26.5
"6349",2000,11,10,25.7,26.4
"6373",2000,11,11,21.8,26.2
"6397",2000,11,12,23,26.2
"6421",2000,11,13,24.3,26.3
"6445",2000,11,14,24.9,26.3
"6469",2000,11,15,20.9,26.2
"6493",2000,11,16,24.3,25.7
"6517",2000,11,17,25.6,26.4
"6541",2000,11,18,25.9,26.4
"6565",2000,11,19,25.9,26
"6589",2000,11,20,24.9,26.3
"6613",2000,11,21,16.7,25.7
"6637",2000,11,22,14.1,24.8
"6661",2000,11,23,21.6,25.4
"6685",2000,11,24,23,25.6
"6709",2000,11,25,25.7,25.7
"6733",2000,11,26,25.5,26.2
"6757",2000,11,27,22,25.6
"6781",2000,11,28,18.2,25
"6805",2000,11,29,24.7,25.1
"6829",2000,11,30,21.4,25.2
"6853",2000,12,1,23.9,25.4
"6877",2000,12,2,23.7,25.4
"6901",2000,12,3,21,25.4
"6925",2000,12,4,15.5,25.1
"6949",2000,12,5,18.2,25.2
"6973",2000,12,6,17.9,24
"6997",2000,12,7,19.6,25.1
"7021",2000,12,8,24,25.1
"7045",2000,12,9,24.5,24.9
"7069",2000,12,10,24.9,25.4
"7093",2000,12,11,24.8,25.2
"7117",2000,12,12,25.3,25.7
"7141",2000,12,13,25,25.6
"7165",2000,12,14,24.7,25.5
"7189",2000,12,15,24.5,25.4
"7213",2000,12,16,25.1,25.4
"7237",2000,12,17,25.5,25.5
"7261",2000,12,18,15.6,24.8
"7285",2000,12,19,20.1,24.9
"7309",2000,12,20,11.8,23.9
"7333",2000,12,21,13.8,24.2
"7357",2000,12,22,17.8,24.1
"7381",2000,12,23,22.1,24.1
"7405",2000,12,24,22.2,24.4
"7429",2000,12,25,22.5,24.1
